,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegratedInt
0,1.0,368.0,1920.9933842239186,1.0,1.0,1.0,366.0,1919.0,370.0,1923.0,9.0,1916.8125
1,1.0,380.9861365419827,326.01046298718285,1.0,1.0,1.0,379.0,324.0,383.0,328.0,9.0,1156.75
2,1.0,1066.0148266880385,1114.008214786616,1.0,1.0,1.0,1064.0,1112.0,1068.0,1116.0,9.0,1458.5
3,1.0,1505.0215759849907,2063.9821763602254,1.0,1.0,1.0,1502.0,2061.0,1508.0,2067.0,21.0,3459.458333333332
4,1.0,1599.995548227535,948.0214344600165,1.0,1.0,1.0,1598.0,946.0,1602.0,950.0,9.0,2015.0
5,1.0,2237.9885651051272,162.0,1.0,1.0,1.0,2236.0,160.0,2240.0,164.0,9.0,1219.0
