 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegratedInt
1,1,367.99796,1920.98545,1,1,1,366,1919,370,1923,9,1561.62500
2,1,1126.50139,1688.01797,1,1,1,1124,1686,1129,1690,12,1062.33333
3,1,1400.97190,2018.72454,1,1,1,1395,2013,1407,2025,105,2020629.10417
4,1,1505.00380,2063.97540,1,1,1,1502,2061,1508,2067,21,2881.25000
5,1,1913.84024,290.97621,1,1,1,1908,285,1920,297,104,1344767.25000
6,1,1950.55820,387.93335,1,1,1,1947,384,1954,392,39,67710.20000
7,1,2161.26346,691.99729,1,1,1,2158,689,2165,695,28,9575.30769
8,1,2237.99192,161.99378,1,1,1,2236,160,2240,164,9,1073.56250
9,1,2254.01678,1579.86970,1,1,1,2248,1574,2260,1586,105,1802319.29167
